circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,black.stopped,text_A.started,polygon.started,key_resp_3.started,polygon.stopped,key_resp_3.stopped,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,feedback1.started,text_3.started,key_resp_9.started,feedback1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,intro_B.started,text_4.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,text_5.stopped,polygon_2.stopped,key_resp_4.stopped,feedback2.started,text_6.started,key_resp_10.started,feedback2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,polygon_3.stopped,key_resp_7.stopped,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,feedback3.started,text_9.started,key_resp_8.started,feedback3.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
red,j,1,0,8,8,4,,,,,,,,,45.7000766000001,,,,,,,,,,,,,45.69484929999999,45.7000766000001,48.693659300000036,48.68804780000028,48.688062100000025,49.08350780000001,49.083518399999775,49.08898880000015,49.08898880000015,52.08208250000007,52.08208250000007,52.07668889999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,0,9,9,2,,,,,,,,,52.08208250000007,,,,,,,,,,,,,52.07686079999985,52.08208250000007,55.07541140000012,55.069610399999874,55.06962209999983,55.465366299999914,55.46537619999981,55.470986000000266,55.470986000000266,58.47038979999979,58.47038979999979,58.45862339999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.45874780000031,58.47038979999979,58.47038979999979,67.18852229999993,space,8.711803399999553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18854360000023,67.19591239999954,67.19591239999954,69.07909680000012,space,1.879659399999582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,0,0,0,6,,,,,69.09655949999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0909888999995,69.09655949999978,73.09881909999967,73.08699230000002,73.0870089,73.09881909999967,73.48789669999951,73.48790829999962,73.49353369999972,73.49353369999972,76.05078309999953,j,2.5510832999998456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,0,1,1,2,,,,,76.0556704999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0511418999995,76.0556704999999,78.04715510000005,78.04133279999951,78.04134509999949,78.04715510000005,78.43155959999967,78.4315704999999,78.43650720000005,78.43650720000005,79.13304499999958,j,0.6836395999998786,None,78.43650720000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,0,2,2,1,,,,,79.13716320000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.13327289999961,79.13716320000003,81.13073149999946,81.1260400000001,81.12605280000025,81.13073149999946,81.52091120000023,81.52091959999962,81.52647129999968,81.52647129999968,84.51445710000007,None,,,81.52647129999968,84.51980679999997,84.51980679999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,0,3,3,0,,,,,84.51980679999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.51463049999984,84.51980679999997,86.5125581000002,86.50702720000027,86.50703950000025,86.5125581000002,86.90338319999955,86.90339200000017,86.90862229999948,86.90862229999948,89.8960846,None,,,86.90862229999948,89.90157739999995,89.90157739999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
blue,f,0,,,,,0,4,4,5,,,,,89.90157739999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.89626339999995,89.90157739999995,93.89456749999954,93.88899949999995,93.88901119999991,93.89456749999954,94.28476210000008,94.28477079999993,94.29036619999988,94.29036619999988,97.2779631000003,None,,,94.29036619999988,97.28337120000015,97.28337120000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
red,j,1,,,,,0,5,5,8,,,,,97.28337120000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2781286999998,97.28337120000015,101.27647090000028,101.27093119999972,101.27094380000017,101.27647090000028,101.66677179999988,101.6667824999995,101.67244459999984,101.67244459999984,104.65989189999982,None,,,101.67244459999984,104.66546519999974,104.66546519999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108043,001,2024-10-21_21h46.11.181,untitled,2024.1.5,None,2024-10-21 21h46.15.613936 +0800,
