circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02359619999970164,2.966224499999953,space,2.9249376999996457,None,,,,,,,,,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
,,,,,,,,,,,,,,2.9662438999994265,2.9663761000001614,,,,,,,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
blue,f,0,0,0,0,9,2.989321299999574,,,,,,,,,2.977205299999696,2.97739619999993,2.977405699999508,2.9775168999995003,2.977523999999903,2.9776145999994696,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
red,j,1,0,1,1,4,2.989321299999574,,,,,,,,,2.977720599999884,2.977810899999895,2.9778175999999803,2.97789179999927,2.9778974000000744,2.977984899999683,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
red,j,1,0,2,2,8,2.989321299999574,,,,,,,,,2.9781081999999515,2.9782618999997794,2.9782730999995692,2.9783935999994355,2.9784006999998383,2.9784843999996156,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
blue,f,0,0,3,3,1,2.989321299999574,,,,,,,,,2.9786300999994637,2.9787176999998337,2.978723799999898,2.9787955000001602,2.9788009999992937,2.9788675999998304,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
blue,f,0,0,4,4,3,2.989321299999574,,,,,,,,,2.9789491000001362,2.979039400000147,2.9790454999993017,2.9791231999997763,2.9791285000001153,2.979199200000039,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
red,j,1,0,5,5,0,2.989321299999574,,,,,,,,,2.979275499999858,2.9793552000001,2.979361400000016,2.979435100000046,2.9794402999996237,2.9795055999993565,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
blue,f,0,0,6,6,7,2.989321299999574,,,,,,,,,2.979580499999429,2.9796558999996705,2.9796613999997135,2.9797287000001234,2.979733799999849,2.9797983999997086,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
red,j,1,0,7,7,6,2.989321299999574,,,,,,,,,2.979867299999569,2.9799426999998104,2.9799482999997053,2.980015699999967,2.980020799999693,2.9801033999992796,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
red,j,1,0,8,8,2,2.989321299999574,,,,,,,,,2.980172699999457,2.980254299999615,2.980260399999679,2.980328599999666,2.980333900000005,2.9804012999993574,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
blue,f,0,0,9,9,5,2.989321299999574,,,,,,,,,2.980470299999979,2.980544899999586,2.9805507000000944,2.9806173999995735,2.9806221999997433,2.980686699999751,,,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
,,,,,,,,,,,,,,,,,,,,,,2.9807052999994994,2.9808392999993885,,380662,001,2024-10-21_21h22.28.960,untitled,2024.1.5,None,2024-10-21 21h22.34.957234 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,2.9808476999996856,,,,,,,,
