circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,feedback2.started,feedback2.stopped,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,polygon_3.stopped,key_resp_7.stopped,feedback3.started,text_9.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
red,j,1,,,,,0,1,1,4,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.2407400000001871,1.2408633000004556,1.2408719000004567,1.2409754999998768,1.240981699999793,1.2410667000003741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,0,2,2,9,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.2411596000001737,1.2412500999998883,1.2412566000002698,1.2413356999995813,1.2413415999999415,1.24141630000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,0,3,3,8,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.2414939000000231,1.241578699999991,1.241584899999907,1.2416596000002755,1.2416652000001704,1.2417364000002635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,0,4,4,6,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.241809799999828,1.2418937000002188,1.241899900000135,1.2419726999996783,1.2419786999998905,1.2421548000002076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,0,5,5,0,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.242233799999667,1.242363899999873,1.2423703000004025,1.2424533000003066,1.2424588000003496,1.24252929999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,0,6,6,2,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.242601900000409,1.2426831000002494,1.2426891000004616,1.2427612999999837,1.2427668999998787,1.242835500000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,0,7,7,1,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.2429063999998107,1.2429854000001797,1.242992100000265,1.2431170999998358,1.2431236000002173,1.2432028000002902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,0,8,8,5,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.2432747000002564,1.2433538000004773,1.24335979999978,1.2434652000001734,1.2434707000002163,1.2435513999998875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,0,9,9,3,,,,,1.2535994999998366,,,,,,,,,,,,,,,,,,,1.243627099999685,1.243742900000143,1.2437486999997418,1.2438304999996035,1.2438357000000906,1.2439086000003954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2439267999998265,1.2440021000002162,,,,,,,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2440087000004496,1.2535994999998366,1.894503600000462,space,0.637641799999983,None,,,,,,,,,,,,,,,,,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,,,,,0,0,0,7,1.9131311999999525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9038647999996101,1.9131311999999525,3.906924199999594,3.90150900000026,3.9015227999998388,3.906924199999594,4.302630799999861,4.297152299999652,4.297162599999865,4.302630799999861,4.302630799999861,5.860202800000479,f,1,1.5570352999993702,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,,,,,0,1,1,3,5.865726900000482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.860529300000053,5.865726900000482,8.858070100000077,8.852714399999968,8.852726099999927,8.858070100000077,9.254077599999619,9.248388599999998,9.248399199999767,9.254077599999619,9.254077599999619,9.81110499999977,f,1,0.5511748000008083,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,,,,,0,2,2,5,9.816495699999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.811328099999628,9.816495699999905,12.809391400000095,12.803928100000121,12.80394030000025,12.809391400000095,13.205388999999741,13.200288199999704,13.200297800000044,13.205388999999741,13.205388999999741,16.193023099999664,None,0,,,16.198338899999726,16.198338899999726,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,,,,,0,3,3,8,16.198338899999726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.193213200000173,16.198338899999726,20.191367600000376,20.18592549999994,20.185937399999602,20.191367600000376,20.58725990000039,20.581652200000462,20.58166110000002,20.58725990000039,20.58725990000039,21.707018699999935,j,1,1.1175838999997723,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,,,,,0,4,4,2,21.712443800000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.707264300000134,21.712443800000074,24.705378100000416,24.69987570000012,24.69989170000008,24.705378100000416,25.101172900000165,25.095552800000405,25.09556260000045,25.101172900000165,25.101172900000165,25.51963319999959,j,1,0.4132364000006419,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,,,,,0,5,5,6,25.524788400000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.519858999999997,25.524788400000034,29.51781740000024,29.51231689999986,29.512329099999988,29.51781740000024,29.913752399999794,29.908379499999683,29.9083885,29.913752399999794,29.913752399999794,30.20710059999965,j,1,0.29002940000009403,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,,,,,0,6,6,9,30.21230000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.207334699999592,30.21230000000014,32.205179399999906,32.19977000000017,32.19978150000043,32.205179399999906,32.60115829999995,32.59569459999966,32.595704999999725,32.60115829999995,32.60115829999995,33.367301600000246,j,0,0.764222100000552,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,,,,,0,7,7,0,33.37262350000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3675516000003,33.37262350000037,36.36556329999985,36.36008459999994,36.360096200000044,36.36556329999985,36.76087980000011,36.75528219999978,36.755291399999805,36.76087980000011,36.76087980000011,37.158482200000435,j,1,0.3919520999997985,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
blue,f,0,,,,,,,,,0,8,8,1,37.16373829999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.158730600000126,37.16373829999975,41.156039299999975,41.15064379999967,41.150655200000074,41.156039299999975,41.54560909999964,41.539943400000084,41.53995229999964,41.54560909999964,41.54560909999964,42.033645100000285,f,1,0.4844966000000568,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
red,j,1,,,,,,,,,0,9,9,4,42.03867360000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.03386920000048,42.03867360000004,45.03163169999971,45.026031299999886,45.02604330000031,45.03163169999971,45.42756180000015,45.42200099999991,45.422010399999635,45.42756180000015,45.42756180000015,46.123638299999584,j,1,0.6920443999997588,None,,,,,,448342,001,2024-10-21_21h40.35.649,untitled,2024.1.5,None,2024-10-21 21h40.39.828430 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.123821500000304,46.141981900000246,46.141981900000246,,,,,,,,
