circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,polygon.stopped,text_A.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.030820500000118045,2.8162944000005155,space,2.7668557999995755,None,,,,,,,,,,,,,,,,,,,488488,001,2024-10-21_20h56.32.413,untitled,2024.1.5,None,2024-10-21 20h56.36.316812 +0800,
,,,,,,,,,,,,,,2.816313999999693,2.8255294999999023,3.2449874000003547,space,0.4159192000006442,None,,,,,,,,,,,,,488488,001,2024-10-21_20h56.32.413,untitled,2024.1.5,None,2024-10-21 20h56.36.316812 +0800,
blue,f,0,0,0,0,9,3.262916800000312,,,,,,,,,,,,,3.255952200000138,3.262916800000312,6.256924999999683,6.251399400000082,6.2514116000002105,6.256924999999683,6.652929699999731,6.647350700000061,6.647359499999766,6.652929699999731,9.645781700000043,9.640227500000037,488488,001,2024-10-21_20h56.32.413,untitled,2024.1.5,None,2024-10-21 20h56.36.316812 +0800,
,,,,,,,9.645781700000043,,,,,,,,,,,,,9.640364699999736,9.645781700000043,11.638842899999872,11.633230899999944,11.633243199999924,11.638842899999872,12.03489239999999,12.029325999999855,12.029336999999941,12.03489239999999,,,,,,,,,,
