circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,key_resp_3.started,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.stopped,key_resp_3.stopped,feedback1.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03113500000017666,4.553714100000434,space,4.503281700000116,None,,,,,,,,,,,,,,,,,,,,,,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
,,,,,,,,,,,,,,4.5537334000000556,4.563298200000645,4.906848800000262,space,0.3384084999997867,None,,,,,,,,,,,,,,,,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
red,j,1,0,0,0,6,4.925122600000577,,,,,,,,,,,,,4.9187220000003435,4.925122600000577,6.917805700000827,6.912440400000378,6.912452700000358,6.917805700000827,7.312759800000094,7.303353100000095,7.303362900000138,7.312759800000094,7.312759800000094,8.725608700000521,j,1.4121368000005532,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
blue,f,0,0,1,1,3,8.730621100000462,,,,,,,,,,,,,8.725959100000182,8.730621100000462,10.72428730000047,10.718694099999993,10.718705199999931,10.72428730000047,11.120124800000667,11.114500300000145,11.114508999999998,11.120124800000667,11.120124800000667,14.106545399999959,None,,,14.11364709999998,14.11364709999998,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
blue,f,0,0,2,2,5,14.11364709999998,,,,,,,,,,,,,14.106713000000127,14.11364709999998,17.105041100000562,17.099487200000112,17.099499100000685,17.105041100000562,17.500863300000674,17.4952243000007,17.49523279999994,17.500863300000674,17.500863300000674,20.310598900000514,j,2.8012527999999293,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
blue,f,0,0,3,3,7,20.319861900000433,,,,,,,,,,,,,20.311071800000718,20.319861900000433,24.31334120000065,24.308204800000567,24.308216500000526,24.31334120000065,24.70916970000053,24.70365480000055,24.703665900000487,24.70916970000053,24.70916970000053,27.69662900000003,None,,,27.702336500000456,27.702336500000456,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
red,j,1,0,4,4,2,27.702336500000456,,,,,,,,,,,,,27.696781100000408,27.702336500000456,31.695316500000445,31.690067500000623,31.69008010000016,31.695316500000445,32.09118170000056,32.08560910000051,32.085618900000554,32.09118170000056,32.09118170000056,32.59826020000037,j,0.49565160000020114,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
blue,f,0,0,5,5,9,32.6051223000004,,,,,,,,,,,,,32.598490300000776,32.6051223000004,35.597970100000566,35.592625000000226,35.59263760000067,35.597970100000566,35.99398540000038,35.98843240000042,35.988441700000294,35.99398540000038,35.99398540000038,36.343430300000364,j,0.3483779999996841,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
blue,f,0,0,6,6,1,36.35547020000013,,,,,,,,,,,,,36.34363670000039,36.35547020000013,40.34826940000039,40.34255350000058,40.34256660000028,40.34826940000039,40.743949200000316,40.73840720000044,40.73841600000014,40.743949200000316,40.743949200000316,41.120650800000476,j,0.37376920000042446,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
red,j,1,0,7,7,8,41.12597540000024,,,,,,,,,,,,,41.12085939999997,41.12597540000024,45.11895300000015,45.113485600000786,45.11349710000013,45.11895300000015,45.514785200000006,45.50919620000059,45.50920480000059,45.514785200000006,45.514785200000006,46.02808760000062,j,0.4957977000003666,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
red,j,1,0,8,8,0,46.03510710000046,,,,,,,,,,,,,46.02843260000009,46.03510710000046,48.02868600000056,48.02327690000038,48.02328900000066,48.02868600000056,48.42465609999999,48.419098600000325,48.41910730000018,48.42465609999999,48.42465609999999,48.726743900000656,j,0.2931474999995771,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
red,j,1,0,9,9,4,48.73046599999998,,,,,,,,,,,,,48.72696770000039,48.73046599999998,52.72328820000075,52.71788910000032,52.71790099999998,52.72328820000075,53.11913810000078,53.113503700000365,53.11351430000013,53.11913810000078,53.11913810000078,53.398855899999944,j,0.2777167999993253,None,,,,,565750,001,2024-10-21_21h07.40.616,untitled,2024.1.5,None,2024-10-21 21h07.44.891935 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.399008200000026,53.42370260000007,,,,,,,,
