circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.023157599999649392,2.494681000000128,space,2.4529124000000593,None,,,,,,,,,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
,,,,,,,,,,,,,,,,,,2.49469979999958,2.4947971000001417,,,,,,,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,0,0,0,6,,,,,2.5247865999999703,,,,,,,,,2.505255799999759,2.505466599999636,2.505474800000229,2.505573999999797,2.505580299999565,2.505656899999849,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,0,1,1,2,,,,,2.5247865999999703,,,,,,,,,2.5057482000001983,2.5058343000000605,2.5058406999996805,2.5059117000000697,2.5059169999994992,2.5059886999997616,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,0,2,2,8,,,,,2.5247865999999703,,,,,,,,,2.506071900000279,2.506194300000061,2.506204600000274,2.506331399999908,2.506339200000184,2.5064328999997088,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,0,3,3,9,,,,,2.5247865999999703,,,,,,,,,2.506544799999574,2.5066451000002417,2.506652000000031,2.5067283999997017,2.5067337999998927,2.50680310000007,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,0,4,4,3,,,,,2.5247865999999703,,,,,,,,,2.5069011999994473,2.5070003999999244,2.5070060999996713,2.5070804999995744,2.5070857000000615,2.5071663999997327,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,0,5,5,4,,,,,2.5247865999999703,,,,,,,,,2.5072643000003154,2.507392499999696,2.5073990999999296,2.507490599999983,2.507496799999899,2.5075847999996768,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,0,6,6,1,,,,,2.5247865999999703,,,,,,,,,2.507676199999878,2.5077832999995735,2.507789999999659,2.50787500000024,2.5078811000003043,2.5079656999996587,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,0,7,7,5,,,,,2.5247865999999703,,,,,,,,,2.5080471999999645,2.5081751999996413,2.508181700000023,2.5082760999994207,2.508281700000225,2.508362699999452,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,0,8,8,0,,,,,2.5247865999999703,,,,,,,,,2.508444199999758,2.508526499999789,2.508532400000149,2.5086042000002635,2.508609299999989,2.5086757999997644,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,0,9,9,7,,,,,2.5247865999999703,,,,,,,,,2.5087464999996882,2.5088209999994433,2.5088266000002477,2.508894099999452,2.508899100000235,2.508964200000264,,,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.5089836999995896,2.509052299999894,,,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50905849999981,2.5091240000001562,,,,,,,,,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
blue,f,0,,,,,0,0,0,5,2.5247865999999703,,,,,,,,,,,,,,,,,,,2.518446600000061,2.5247865999999703,5.5185562999995454,5.513019400000303,5.51303149999967,5.513133999999809,5.513140899999598,5.51321420000022,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
red,j,1,,,,,0,1,1,2,5.5185562999995454,,,,,,,,,,,,,,,,,,,5.513355299999603,5.5185562999995454,8.51167439999972,8.50615579999976,8.506167399999867,8.506294900000285,8.50630369999999,8.5064083999996,054246,001,2024-10-21_21h38.03.265,untitled,2024.1.5,None,2024-10-21 21h38.07.573938 +0800,
