circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,polygon.stopped,text_A.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.024016400000618887,2.65406990000065,space,2.6130597000001217,None,,,,,,,,,,,,,,,,,,,832839,001,2024-10-21_20h59.01.586,untitled,2024.1.5,None,2024-10-21 20h59.06.347245 +0800,
,,,,,,,,,,,,,,2.6540905000001658,2.663148600000568,3.075414100000671,space,0.40750459999981103,None,,,,,,,,,,,,,832839,001,2024-10-21_20h59.01.586,untitled,2024.1.5,None,2024-10-21 20h59.06.347245 +0800,
red,j,1,0,0,0,2,3.0937735000006796,,,,,,,,,,,,,3.0862786000006963,3.0937735000006796,6.087575900000047,6.082387200000085,6.082400400000552,6.087575900000047,6.48338750000039,6.47783310000068,6.477842799999962,6.48338750000039,9.476450600000135,9.47084840000025,832839,001,2024-10-21_20h59.01.586,untitled,2024.1.5,None,2024-10-21 20h59.06.347245 +0800,
blue,f,0,0,1,1,5,9.476450600000135,,,,,,,,,,,,,9.47098570000071,9.476450600000135,11.469441900000675,11.463810700000067,11.46382260000064,11.469441900000675,11.858447399999932,11.853435300000456,11.853444299999865,11.858447399999932,14.851457900000241,14.846410600000127,832839,001,2024-10-21_20h59.01.586,untitled,2024.1.5,None,2024-10-21 20h59.06.347245 +0800,
,,,,,,,14.851457900000241,,,,,,,,,,,,,14.846555400000398,14.85839279999982,,,,,,,,,,,,,,,,,,
