circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,text_A.stopped,polygon.stopped,polygon_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03267370000048686,2.2133042000004934,space,2.1635005999996793,None,,,,,,,,,,,,,,,,,,,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
,,,,,,,,,,,,,,2.2133241000001362,2.222091399999954,3.107264000000214,space,0.8796216000000641,None,,,,,,,,,,,,,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
red,j,1,0,0,0,2,3.1253970999996454,,,,,,,,,,,,,3.119508499999938,3.1253970999996454,3.608470000000125,3.608480900000359,3.621659499999623,6.6125678999997035,6.60754580000048,6.6075644000002285,6.6125678999997035,7.849285000000236,,,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
red,j,1,0,1,1,0,7.855470499999683,,,,,,,,,,,,,7.84945130000051,7.855470499999683,8.113965700000335,8.113974699999744,8.119568299999628,11.112637299999733,11.106834000000163,11.106846399999995,11.112637299999733,12.100000999999793,12.105467000000317,,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
blue,f,0,0,2,2,3,12.105467000000317,,,,,,,,,,,,,12.100158700000065,12.105467000000317,12.593175099999826,12.59318489999987,12.598769999999604,16.590943299999708,16.585429699999622,16.5854417999999,16.590943299999708,17.57913980000012,17.584757599999648,12.598769999999604,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
red,j,1,0,3,3,4,17.584757599999648,,,,,,,,,,,,,17.579282200000307,17.584757599999648,18.071372299999894,18.07138169999962,18.077850800000306,21.069991700000173,21.06459150000046,21.06460419999985,21.069991700000173,22.057471500000247,22.063115099999777,18.077850800000306,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
red,j,1,0,4,4,6,22.063115099999777,,,,,,,,,,,,,22.057643199999802,22.063115099999777,22.550446799999918,22.55045539999992,22.556029800000033,26.549195300000065,26.54350059999979,26.54351240000051,26.549195300000065,27.53661269999975,27.542239899999913,22.556029800000033,787489,001,2024-10-21_20h51.21.932,untitled,2024.1.5,None,2024-10-21 20h51.43.387212 +0800,
,,,,,,,27.542239899999913,,,,,,,,,,,,,27.536761399999705,27.542239899999913,28.029888899999605,28.029901300000347,28.03541210000003,,,,,,,28.03541210000003,,,,,,,,
