circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,intro_B.stopped,focus2.started,focus2.stopped,black2.started,black2.stopped,textB.started,textB.stopped,feedback2.started,feedback2.stopped,intro_C.started,key_resp_6.started,intro_C.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,focus3.started,polygon_6.started,polygon_6.stopped,focus3.stopped,black3.started,text_8.started,text_8.stopped,black3.stopped,texkC.started,polygon_3.started,key_resp_7.started,texkC.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blue,f,0,,,,,0,1,1,5,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7777006000005713,2.777787800000624,2.777794100000392,2.7778674999999566,2.777873300000465,2.777942300000177,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,,,,,0,2,2,8,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7780209000002287,2.778100700000323,2.778106900000239,2.7781769000002896,2.778182700000798,2.7782508000000234,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,,,,,0,3,3,7,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7783358000006046,2.7784715000007054,2.7784803000004104,2.7785806000001685,2.7785876000007192,2.7786912000001394,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,,,,,0,4,4,2,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.778794600000765,2.778909100000419,2.7789165000003777,2.7790070000000924,2.7790132000000085,2.7790968000008434,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,,,,,0,5,5,1,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.779187300000558,2.7793113000006997,2.779322100000172,2.779428900000312,2.7794360000007146,2.7795167000003858,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,,,,,0,6,6,0,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7796572000006563,2.7797604000006686,2.779767700000775,2.779913800000031,2.7799227000004976,2.7800336000000243,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,,,,,0,7,7,9,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7801343999999517,2.7802273000006608,2.780233600000429,2.7803074000003107,2.7803128000005017,2.7803820000008272,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
blue,f,0,,,,,0,8,8,3,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.780461300000752,2.780541699999958,2.78054770000017,2.7806705000002694,2.780684000000292,2.7808245000005627,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
red,j,1,,,,,0,9,9,6,,,,,2.7892704000005324,,,,,,,,,,,,,,,,,,,2.7809285000003,2.781075800000508,2.7810828000001493,2.7811710000005405,2.7811771000006047,2.7812539000005927,,,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.781274800000574,2.781351800000266,,,,,,,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7813589000006687,2.7892704000005324,3.653689200000372,space,0.8565609000006589,None,,,,,,,,,,,,,,,,,954725,001,2024-10-21_21h39.54.608,untitled,2024.1.5,None,2024-10-21 21h39.58.612120 +0800,
,,,,,,,,,,,,,,,3.671214300000429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.663268700000117,3.671214300000429,6.664891200000056,6.659344800000326,6.659356699999989,6.664891200000056,7.060637600000518,7.055073700000321,7.0550833000006605,7.060637600000518,7.060637600000518,9.74323060000006,j,1,2.681767000000036,None,,,,,,,,
