circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,key_resp_2.started,intro_A.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,focus.started,polygon_4.started,polygon_4.stopped,focus.stopped,black.started,text_2.started,text_2.stopped,black.stopped,text_A.started,polygon.started,key_resp_3.started,polygon.stopped,key_resp_3.stopped,text_A.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.031802999999854364,2.3592835999997988,space,2.3078292999998666,None,,,,,,,,,,,,,,,,,,,,,,,,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
,,,,,,,,,,,,,,2.3593022000004567,2.370344599999953,2.7116603000004034,space,0.3348604000002524,None,,,,,,,,,,,,,,,,,,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
red,j,1,0,0,0,2,2.729249200000595,,,,,,,,,,,,,2.7240787999999156,2.729249200000595,6.7237967000000936,6.718757600000572,6.718770800000129,6.7237967000000936,7.128204399999959,7.115839200000664,7.1158516000004965,7.128204399999959,7.128204399999959,10.1196774,10.1196774,10.114649300000565,None,,,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
red,j,1,0,1,1,8,10.1196774,,,,,,,,,,,,,10.11487649999981,10.1196774,12.1118563,12.106182600000466,12.10619459999998,12.1118563,12.507613600000695,12.50194090000059,12.501949200000126,12.507613600000695,12.507613600000695,,,13.10125010000047,j,0.5879858000007516,None,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
red,j,1,0,2,2,0,13.10865079999985,,,,,,,,,,,,,13.101524900000186,13.10865079999985,15.104803700000048,15.099259100000381,15.099271600000066,15.104803700000048,15.493735000000015,15.488712200000009,15.48872080000001,15.493735000000015,15.493735000000015,,,15.822045500000058,j,0.3253815999996732,None,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
blue,f,0,0,3,3,1,15.832503200000247,,,,,,,,,,,,,15.822269100000085,15.832503200000247,19.82695320000039,19.821434200000112,19.821445399999902,19.82695320000039,20.222848299999896,20.217423699999927,20.217432700000245,20.222848299999896,20.222848299999896,,,20.544198100000358,j,0.3184369999999035,None,863564,001,2024-10-21_21h01.41.826,untitled,2024.1.5,None,2024-10-21 21h01.46.170086 +0800,
,,,,,,,20.553372800000034,,,,,,,,,,,,,20.544414200000574,20.553372800000034,22.54937239999981,22.54369360000055,22.543705099999897,22.54937239999981,22.944958200000656,22.93950390000009,22.939511999999922,22.944958200000656,22.944958200000656,,,,,,,,,,,,,,
